gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_banana_2,add_apple_3,add_baseball_0,add_book_0,add_beige_brush_0,mean_add
5,6,2287.1,55.414,8.5186,1.9002,1.4517,0.085236,0.0086202,0.08313,0.10864,0.07546,0.09336,0.05868,0.08385
5,7,1489.9,68.622,7.4898,0.71502,1.0074,0.10442,0.011017,0.08159,0.11076,0.05270,0.05564,0.05793,0.07173
6,0,1022.3,71.227,9.4436,0.99683,0.82745,0.14068,0.010018,0.08192,0.11094,0.04868,0.04919,0.05828,0.06980
6,1,1096.5,60.099,12.041,1.123,0.69224,0.19279,0.0086929,0.08308,0.11004,0.05001,0.08155,0.05981,0.07690
6,2,1379,79.266,8.3287,1.5864,1.2051,0.1967,0.0087883,0.08264,0.10998,0.04890,0.12309,0.05738,0.08440
6,3,1731.6,112.7,7.5957,1.3401,0.98776,0.097554,0.0076646,0.08246,0.11893,0.04888,0.09115,0.05797,0.07988
6,4,1544.3,80.486,9.8435,1.5836,0.84537,0.14423,0.010485,0.08213,0.11094,0.04976,0.04822,0.05531,0.06927
6,5,1505.4,74.021,5.2172,1.0101,1.411,0.14278,0.016562,0.08271,0.11069,0.05683,0.08802,0.05874,0.07940
6,6,2093.8,39.233,12.823,1.1849,0.68205,0.17485,0.012379,0.08358,0.11522,0.05152,0.08496,0.05819,0.07869
6,7,1098.7,82.881,6.7972,1.6993,0.99037,0.19064,0.013977,0.08177,0.11057,0.05274,0.10015,0.05721,0.08049
7,0,1040.3,126.01,7.8963,1.1258,1.3371,0.14286,0.011347,0.08193,0.11047,0.04872,0.08726,0.05741,0.07716
7,1,1510.7,58.222,11.345,1.6323,0.63002,0.11359,0.010215,0.08305,0.11687,0.04888,0.08824,0.05976,0.07936
7,2,1621.2,69.788,12.71,1.364,0.80452,0.27228,0.0098832,0.08260,0.11483,0.04888,0.10935,0.05765,0.08266
7,3,1052.7,67.576,14.557,0.95533,0.83902,0.11371,0.0085998,0.08248,0.11737,0.04900,0.12906,0.05762,0.08711
7,4,1090.7,85.616,14.052,0.64698,0.71179,0.1411,0.0093723,0.08200,0.11371,0.04897,0.09249,0.05501,0.07844
7,5,1681,108.18,7.5162,1.4673,0.8002,0.097014,0.0065527,0.08275,0.11051,0.05170,0.08978,0.05815,0.07858
7,6,1285.2,122.82,8.278,1.5958,0.66479,0.11176,0.014188,0.08318,0.11051,0.05203,0.03983,0.05737,0.06859
7,7,2157,58.632,10.626,1.2184,0.82577,0.15189,0.015261,0.08176,0.11096,0.04899,0.08447,0.05698,0.07663
8,0,1647.1,116.17,12.065,1.7985,0.92348,0.13745,0.014065,0.08212,0.11061,0.04871,0.05829,0.06105,0.07216
8,1,1571.6,119.99,9.865,1.9484,0.57652,0.20965,0.014282,0.08349,0.10951,0.04827,0.08525,0.06200,0.07770
8,2,1608,89.813,9.3453,1.1977,0.7895,0.17182,0.013562,0.08259,0.11719,0.04864,0.08594,0.05533,0.07794
8,3,1348.1,67.972,10.018,1.2049,0.5251,0.24255,0.018822,0.08217,0.11223,0.04892,0.03539,0.05634,0.06701
8,4,2394,127.38,9.67,0.9593,1.2695,0.084525,0.010211,0.08221,0.11282,0.06008,0.08640,0.05527,0.07936
8,5,1351.8,102.2,10.073,2.1886,0.48556,0.16945,0.01491,0.08253,0.10806,0.05041,0.03290,0.06120,0.06702
8,6,1631,87.978,8.4123,0.77162,0.71752,0.174,0.013188,0.08333,0.11674,0.07522,0.04052,0.06441,0.07604
8,7,893.93,57.857,10.302,1.1648,1.0199,0.1095,0.016667,0.08175,0.11065,0.06055,0.05528,0.05584,0.07281
9,0,1299.3,88.924,10.468,1.507,0.69878,0.19561,0.024804,0.08191,0.11080,0.04817,0.03572,0.05744,0.06681
9,1,983.65,84.881,9.1698,2.1121,0.58464,0.16063,0.016805,0.08426,0.10890,0.04875,0.03718,0.05849,0.06752
9,2,805.35,68.57,12.005,1.4754,0.60665,0.20326,0.01323,0.08253,0.11541,0.04857,0.08478,0.05712,0.07768
9,3,1274.8,45.36,8.0298,2.0015,0.87585,0.17642,0.014139,0.08243,0.11462,0.04849,0.10393,0.05873,0.08164
9,4,1514.5,65.531,14.635,1.4201,0.62067,0.22528,0.022909,0.08189,0.11750,0.05631,0.03773,0.05526,0.06974
9,5,1139.9,168.04,11.863,1.3573,1.1059,0.15314,0.016744,0.08294,0.11068,0.04815,0.05258,0.05893,0.07066
9,6,1673,89.439,11.213,1.4106,0.45308,0.21216,0.022502,0.08353,0.11498,0.05318,0.07031,0.05752,0.07590
9,7,1074.4,71.577,9.4525,1.4524,0.52642,0.18502,0.017033,0.08331,0.11080,0.04906,0.03395,0.05748,0.06692
10,0,1680.4,65.723,12.951,1.7527,1.0439,0.115,0.013094,0.08205,0.11059,0.04909,0.08576,0.05715,0.07693
10,1,1236.2,93.302,11.9,0.93129,0.54552,0.238,0.013807,0.08332,0.11949,0.04894,0.09205,0.06128,0.08102
