gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_apple_0,add_baseball_0,add_beige_brush_2,add_donut_0,add_coffee_tin_0,mean_add
5,6,9819.1,10.846,16.907,1.0216,1.6463,0.19399,0.068802,0.02881,0.00209,0.03495,0.05051,0.09340,0.04195
5,7,3693.7,37.348,6.2115,3.4725,1.3594,0.19431,0.080556,1.00000,0.00209,0.02683,0.04914,0.06858,0.22933
6,0,10433,60.986,9.2531,0.85522,1.0494,0.072524,0.062434,0.02893,0.00209,0.03362,0.05387,0.05710,0.03512
6,1,10912,94.956,6.1067,2.2533,1.2019,0.080169,0.038595,0.03397,0.00209,0.02936,0.05123,0.05099,0.03353
6,2,9047.7,24.765,5.4291,1.8194,2.3173,0.076876,0.098524,0.04388,0.00209,0.03147,0.05466,0.10535,0.04749
6,3,3467.9,12.478,23.275,1.0419,1.6203,0.089048,0.096814,0.04939,0.00209,0.03209,0.05359,0.08010,0.04345
6,4,3641.8,32.893,6.6426,1.5423,1.7582,0.06206,0.071608,0.02567,0.00209,0.03119,0.05007,0.10722,0.04325
6,5,9284.8,12.401,7.3367,0.28886,1.2378,0.085653,0.088088,0.03023,0.00209,0.03050,0.05260,0.04673,0.03243
6,6,3370,70.955,12.132,1.8783,0.9597,0.18052,0.022228,0.03055,0.00209,0.03788,0.05032,0.10006,0.04418
6,7,7869.2,33.715,5.602,1.0291,1.7834,0.034092,0.061965,1.00000,0.00209,0.02661,0.04932,0.03977,0.22356
7,0,10954,28.204,11.985,3.8484,1.5257,0.28626,0.099773,0.04381,0.00209,0.03251,0.05232,0.06507,0.03916
7,1,8737.4,48.78,7.5548,0.35732,0.49373,0.041549,0.098532,0.03288,0.00209,0.02823,0.05164,0.08482,0.03993
7,2,10076,15.602,10.337,0.25729,2.3558,0.079074,0.01486,0.04077,0.00209,0.03144,0.05464,0.06879,0.03955
7,3,15869,61.884,11.916,1.4619,2.1204,0.046624,0.066042,0.03227,0.00209,0.03668,0.05379,0.04905,0.03478
7,4,19976,15.435,11.474,2.2032,2.4558,0.047415,0.034437,0.02601,0.00209,0.03051,0.04946,0.08767,0.03915
7,5,19739,45.318,13.707,0.98699,0.60178,0.048292,0.028634,0.02722,0.00209,0.03288,0.05392,0.04562,0.03235
7,6,16001,20.039,5.4382,1.2321,0.21305,0.19232,0.079887,0.02606,0.00209,0.03324,0.04977,0.05309,0.03285
7,7,3359.2,11.45,6.3239,0.7321,0.63149,0.032642,0.032839,1.00000,0.00209,0.02673,0.04892,0.09649,0.23484
8,0,18000,124.2,14.196,2.0149,0.49126,0.10334,0.032456,0.02905,0.00209,0.03440,0.05321,0.04546,0.03284
8,1,18242,25.917,34.087,2.5732,0.20141,0.13939,0.02792,0.03274,0.00209,0.02901,0.05098,0.05264,0.03349
8,2,19996,32.244,8.9856,0.57316,0.49308,0.11461,0.024552,0.03655,0.00209,0.02990,0.05262,0.04770,0.03377
8,3,18554,10.03,18.816,0.31457,0.21856,0.32652,0.029745,0.03296,0.00209,0.03447,0.05259,0.05534,0.03549
8,4,18458,243.9,10.875,0.83562,1.8929,0.03826,0.010971,0.02575,0.00209,0.03112,0.05034,0.07715,0.03729
8,5,19979,18.471,43.81,2.6228,0.23823,0.10079,0.090777,0.02954,0.00209,0.03210,0.05398,0.05051,0.03364
8,6,19720,19.155,6.2998,0.26209,0.41439,0.092562,0.014114,0.02818,0.00209,0.03637,0.05034,0.05642,0.03468
8,7,8024,35.283,5.3061,0.3274,1.1525,0.20763,0.039682,1.00000,0.00209,0.02701,0.04913,0.08906,0.23346
9,0,15547,26.349,6.4724,1.9271,0.26297,0.089369,0.025799,0.02792,0.00209,0.04770,0.05305,0.04879,0.03591
